date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-09-21 15:42:48,533.33,528.89,519.44,536.67,525.0,506.11,27.78,27.22,28.33,28.89,23.89,28.33,47,58,985,6905,528.6659999999999,28.055,0,265
2022-09-21 15:42:54,545.0,542.78,530.0,546.11,528.33,535.56,29.44,29.44,30.56,31.11,25.56,30.0,47,58,991,6905,538.444,30.1375,6,265
2022-09-21 15:43:00,555.0,550.56,539.44,551.11,535.56,545.56,31.67,31.11,32.78,33.33,27.22,32.22,47,58,993,6905,546.3340000000001,32.2225,12,265
2022-09-21 15:43:06,559.44,556.11,548.89,556.67,541.11,563.33,33.33,33.33,34.44,35.56,29.44,33.89,47,58,1003,6905,552.4440000000001,34.165,18,265
2022-09-21 15:43:12,563.89,563.33,555.56,565.0,546.67,581.11,35.56,35.56,36.67,37.78,31.67,36.11,46,58,1013,6905,558.89,36.3925,24,265
2022-09-21 15:43:18,568.33,568.89,557.78,570.0,552.22,576.11,37.78,37.78,38.89,39.44,33.33,37.78,46,58,1014,6905,563.4440000000001,38.4725,30,265
2022-09-21 15:43:24,570.56,572.22,560.56,573.33,556.11,581.67,39.44,39.44,40.56,41.67,35.0,39.44,46,58,1035,6905,566.556,40.2775,36,265
2022-09-21 15:43:30,574.44,572.78,565.56,575.56,557.78,582.78,41.67,41.67,42.78,43.89,37.22,41.11,46,58,1040,6905,569.2239999999999,42.5025,42,265
2022-09-21 15:43:36,580.56,577.22,570.0,580.56,562.78,588.89,43.33,43.33,45.0,45.56,38.89,42.78,46,58,1044,6905,574.2239999999999,44.305,48,265
2022-09-21 15:43:42,583.89,580.0,572.22,584.44,567.78,595.0,45.56,45.56,46.67,47.78,41.11,44.44,46,58,1056,6905,577.6659999999999,46.392500000000005,54,265
2022-09-21 15:43:48,590.0,582.78,575.56,588.89,568.89,602.78,47.22,47.22,48.33,49.44,42.78,46.67,46,58,1062,6905,581.2239999999999,48.052499999999995,60,265
2022-09-21 15:43:54,587.78,587.78,572.78,592.22,566.67,605.0,48.89,48.89,50.56,51.11,45.0,48.33,46,58,1069,6905,581.446,49.8625,66,265
