date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2019-10-02 21:09:02,561.11,572.78,561.11,583.33,562.22,596.11,64.44,60.56,64.44,62.78,55.56,58.89,45,43,1066,5560,568.11,63.055,0,86
2019-10-02 21:09:08,562.22,571.11,562.78,585.56,565.0,600.56,66.11,62.22,65.56,63.89,57.22,60.56,45,44,1069,5560,569.3340000000001,64.445,6,86
2019-10-02 21:09:14,562.78,572.78,565.0,585.0,567.22,592.78,67.78,63.33,67.22,65.0,58.33,61.67,45,44,1072,5560,570.5559999999999,65.83250000000001,12,86
2019-10-02 21:09:20,567.78,572.22,563.33,587.78,563.33,601.11,69.44,65.0,68.33,66.67,60.0,62.78,45,44,1076,5560,570.8879999999999,67.36,18,86
2019-10-02 21:09:26,567.78,576.67,565.56,587.22,567.22,606.11,71.11,66.11,70.0,67.78,61.11,63.89,45,44,1070,5560,572.89,68.75,24,86
2019-10-02 21:09:32,567.78,577.22,566.11,588.89,570.0,603.89,72.78,67.78,71.11,68.89,62.78,65.0,45,44,1078,5560,574.0,70.14,30,86
2019-10-02 21:09:38,568.89,578.33,563.33,591.11,568.89,601.11,73.89,68.89,72.22,70.0,63.89,66.11,45,44,1080,5560,574.11,71.25,36,86
2019-10-02 21:09:44,571.11,580.56,565.56,588.89,570.56,608.89,75.56,70.0,73.89,71.11,65.0,67.22,45,43,1075,5560,575.336,72.64,42,86
2019-10-02 21:09:50,571.67,580.56,568.33,591.67,571.67,608.33,76.67,71.11,75.0,72.22,66.11,68.33,45,43,1078,5560,576.78,73.75,48,86
2019-10-02 21:09:56,571.67,580.56,570.0,589.44,573.89,610.0,77.78,72.22,76.11,73.33,67.78,69.44,46,43,1077,5560,577.112,74.86,54,86
2019-10-02 21:10:02,573.33,582.22,570.0,591.67,573.33,610.56,79.44,73.33,77.22,74.44,68.89,70.56,46,44,1077,5560,578.11,76.10749999999999,60,86
2019-10-02 21:10:08,575.56,583.33,571.11,588.89,575.56,605.56,80.56,74.44,78.33,75.56,70.0,71.67,46,44,1081,5560,578.89,77.2225,66,86
2019-10-02 21:10:14,577.78,582.22,572.78,592.22,572.78,605.0,81.11,75.56,79.44,76.67,71.11,72.22,46,43,1078,5560,579.5559999999999,78.19500000000001,72,86
2019-10-02 21:10:20,578.33,584.44,568.33,591.11,575.0,606.11,82.22,76.67,80.0,77.22,71.67,73.33,46,44,1089,5560,579.442,79.0275,78,86
2019-10-02 21:10:26,576.11,582.78,568.89,593.89,575.0,607.78,82.78,77.78,81.67,78.33,72.78,74.44,46,44,1084,5560,579.334,80.14,84,86
2019-10-02 21:10:32,576.11,582.78,570.56,594.44,575.56,605.0,83.33,78.89,82.22,79.44,73.89,75.56,45,43,1087,5560,579.89,80.97,90,86
2019-10-02 21:10:38,578.89,585.0,571.67,594.44,573.89,606.67,84.44,80.0,83.33,80.0,75.0,76.11,45,44,1088,5560,580.778,81.9425,96,86
2019-10-02 21:10:44,580.0,583.33,571.11,595.56,574.44,607.22,85.0,80.56,83.89,81.11,76.11,77.22,45,44,1090,5560,580.888,82.64,102,86
2019-10-02 21:10:50,581.67,583.89,572.78,592.22,577.78,603.89,85.56,81.67,85.0,81.67,76.67,77.78,45,44,1090,5560,581.668,83.47500000000001,108,86
2019-10-02 21:10:56,582.78,586.11,575.56,593.33,578.33,606.67,86.11,82.22,85.56,82.78,77.78,78.89,45,44,1084,5560,583.222,84.16749999999999,114,86
2019-10-02 21:11:02,584.44,589.44,574.44,595.56,579.44,608.89,86.67,83.33,86.67,83.33,78.33,79.44,45,44,1086,5560,584.664,85.0,120,86
2019-10-02 21:11:08,584.44,589.44,573.89,597.22,579.44,606.11,87.22,83.89,87.22,84.44,79.44,80.56,45,44,1095,5560,584.886,85.69250000000001,126,86
2019-10-02 21:11:14,583.33,586.67,576.11,597.22,577.22,611.11,87.78,85.0,88.33,85.0,80.0,81.11,45,44,1090,5560,584.11,86.5275,132,86
2019-10-02 21:11:20,585.56,588.33,578.89,596.11,578.89,606.11,88.33,85.56,88.89,85.56,81.11,81.67,45,44,1097,5560,585.5559999999999,87.085,138,86
2019-10-02 21:11:26,585.0,586.67,581.11,597.78,580.56,607.22,88.89,86.11,89.44,86.67,81.67,82.22,45,44,1087,5561,586.224,87.7775,144,86
2019-10-02 21:11:32,585.56,591.67,577.22,600.56,580.0,606.67,89.44,87.22,90.56,87.22,82.78,82.78,44,44,1088,5561,587.0020000000001,88.61000000000001,150,86
2019-10-02 21:11:38,588.89,593.33,577.78,601.67,580.56,608.33,89.44,87.78,91.11,87.78,83.33,83.89,44,44,1096,5561,588.446,89.0275,156,86
2019-10-02 21:11:44,588.89,590.56,576.67,599.44,580.0,615.0,90.0,88.33,91.67,88.33,83.89,84.44,44,44,1095,5561,587.112,89.5825,162,86
2019-10-02 21:11:50,588.33,592.78,583.33,598.89,580.56,611.67,90.56,88.89,92.22,88.89,84.44,85.0,44,44,1094,5561,588.778,90.13999999999999,168,86
2019-10-02 21:11:56,585.56,591.67,581.67,600.0,581.11,611.11,90.56,89.44,92.78,89.44,85.0,85.56,44,44,1096,5561,588.0020000000001,90.55499999999999,174,86
2019-10-02 21:12:02,585.56,592.78,581.11,603.89,578.89,611.11,91.11,90.0,93.89,90.0,85.56,86.11,44,43,1084,5561,588.4459999999999,91.25,180,86
2019-10-02 21:12:08,587.22,589.44,582.22,601.67,580.0,610.0,91.67,91.11,94.44,91.11,86.11,86.67,44,43,1083,5561,588.11,92.08250000000001,186,86
2019-10-02 21:12:14,588.33,591.11,580.0,599.44,576.11,612.22,91.67,91.11,95.0,91.11,87.22,86.67,44,43,1088,5561,586.998,92.2225,192,86
2019-10-02 21:12:20,589.44,591.11,581.11,596.11,578.33,614.44,92.22,92.22,95.0,91.67,87.22,87.78,44,44,1084,5561,587.22,92.7775,198,86
2019-10-02 21:12:26,587.22,590.0,581.11,603.33,579.44,609.44,92.22,92.22,95.56,92.22,87.78,87.78,44,43,1090,5561,588.22,93.055,204,86
2019-10-02 21:12:32,584.44,590.0,580.56,602.78,581.67,612.22,93.33,92.78,96.11,92.78,88.89,88.33,45,43,1089,5561,587.89,93.75,210,86
2019-10-02 21:12:38,586.11,592.22,580.56,604.44,580.0,616.67,93.89,93.33,96.67,93.33,88.89,88.89,46,43,1086,5561,588.6659999999999,94.30499999999999,216,86
2019-10-02 21:12:44,585.0,592.78,583.89,606.67,581.67,615.0,94.44,93.89,97.22,93.89,89.44,89.44,46,43,1085,5561,590.0020000000001,94.85999999999999,222,86
2019-10-02 21:12:50,586.67,591.11,578.89,603.33,582.78,612.78,95.0,94.44,97.78,94.44,90.0,90.0,46,43,1093,5561,588.5559999999999,95.415,228,86
2019-10-02 21:12:56,587.78,590.56,580.0,605.0,583.33,614.44,95.56,95.0,98.33,94.44,90.56,90.0,46,43,1095,5561,589.3340000000001,95.8325,234,86
2019-10-02 21:13:02,596.67,598.89,581.67,606.11,585.0,607.78,95.56,95.56,98.89,95.0,91.11,90.56,45,44,1186,5561,593.668,96.2525,240,86
2019-10-02 21:13:08,602.22,604.44,584.44,606.67,587.78,603.89,96.67,96.11,99.44,95.56,91.67,91.11,45,44,1183,5561,597.11,96.94500000000001,246,86
2019-10-02 21:13:14,603.33,602.78,585.0,605.56,587.22,603.33,97.22,96.67,100.56,96.11,92.22,91.67,45,44,1168,5561,596.778,97.64,252,86
2019-10-02 21:13:20,598.33,602.78,585.0,610.0,588.89,609.44,97.22,97.22,101.11,96.67,92.22,92.78,45,41,1059,5561,597.0,98.055,258,86
2019-10-02 21:13:26,585.0,591.67,580.56,602.78,583.89,612.22,97.22,97.78,101.11,97.22,92.78,92.78,45,40,1027,5561,588.78,98.33250000000001,264,86
2019-10-02 21:13:32,580.56,586.11,582.22,598.33,577.22,613.33,96.67,97.78,101.11,97.22,93.33,92.78,45,40,1041,5561,584.8880000000001,98.195,270,86
2019-10-02 21:13:38,582.78,587.78,578.33,600.0,575.0,614.44,96.67,97.78,101.67,97.78,93.89,93.33,45,40,1044,5561,584.778,98.475,276,86
2019-10-02 21:13:44,580.56,587.78,577.78,597.78,577.78,614.44,96.67,97.78,101.67,97.78,93.89,93.33,45,41,1046,5561,584.3359999999999,98.475,282,86
2019-10-02 21:13:50,580.56,586.67,575.56,600.0,575.0,615.56,96.67,98.33,102.22,98.33,93.89,93.33,45,40,1045,5561,583.558,98.8875,288,86
2019-10-02 21:13:56,577.78,586.67,578.33,598.89,574.44,614.44,96.67,98.89,102.78,98.33,94.44,93.89,45,40,1045,5561,583.222,99.1675,294,86
2019-10-02 21:14:02,580.56,585.0,580.0,598.89,576.11,610.56,96.67,98.89,102.78,98.89,94.44,93.89,45,40,1040,5561,584.112,99.3075,300,86
2019-10-02 21:14:08,578.89,586.67,579.44,595.0,572.22,611.67,96.67,99.44,103.33,99.44,95.0,94.44,45,41,1055,5561,582.4440000000001,99.72,306,86
2019-10-02 21:14:14,580.0,585.0,577.22,596.67,574.44,613.89,96.67,99.44,103.33,99.44,95.0,94.44,45,40,1044,5561,582.6659999999999,99.72,312,86
