date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-06-07 19:12:56,541.11,541.11,518.33,538.89,515.0,567.22,29.44,27.78,28.33,29.44,22.78,30.0,63,55,1092,6612,530.888,28.7475,0,231
2022-06-07 19:13:02,549.44,548.89,521.11,544.44,523.33,565.56,32.22,30.56,31.11,32.22,25.0,32.22,63,56,1135,6612,537.442,31.5275,6,231
2022-06-07 19:13:08,557.78,555.0,528.33,550.0,533.89,570.56,35.0,32.78,33.89,34.44,27.78,35.0,62,53,1129,6612,545.0,34.0275,12,231
2022-06-07 19:13:14,565.0,560.56,536.11,557.78,537.22,574.44,37.22,35.56,36.11,37.22,30.0,37.78,61,54,1138,6612,551.3340000000001,36.5275,18,231
2022-06-07 19:13:20,570.56,566.67,541.11,561.67,541.11,583.33,40.0,38.33,38.89,39.44,32.78,40.0,61,54,1139,6612,556.224,39.165,24,231
2022-06-07 19:13:26,573.89,572.78,547.22,566.67,545.0,586.11,42.22,40.56,41.11,42.22,35.0,42.22,60,54,1142,6612,561.112,41.5275,30,231
2022-06-07 19:13:32,577.78,574.44,552.78,570.0,547.78,585.56,44.44,42.78,43.89,44.44,37.22,45.0,59,54,1154,6612,564.5559999999999,43.8875,36,231
2022-06-07 19:13:38,580.0,578.33,556.67,571.11,551.67,590.0,46.67,45.0,46.11,46.67,40.0,47.22,59,53,1155,6612,567.556,46.1125,42,231
2022-06-07 19:13:44,582.22,581.11,562.22,575.0,553.89,593.89,48.89,47.22,48.33,48.89,42.22,48.89,59,53,1154,6612,570.888,48.332499999999996,48,231
2022-06-07 19:13:50,577.78,578.33,563.33,581.11,555.56,591.67,50.56,49.44,50.56,51.11,44.44,51.11,59,48,1029,6612,571.222,50.417500000000004,54,231
2022-06-07 19:13:56,576.11,572.78,560.56,576.11,549.44,590.56,52.78,51.67,52.22,52.78,46.67,52.78,59,43,1103,6612,567.0,52.362500000000004,60,231
2022-06-07 19:14:02,578.33,575.0,558.33,578.89,548.89,586.67,54.44,53.33,54.44,55.0,48.33,55.0,59,43,1122,6612,567.8879999999999,54.302499999999995,66,231
2022-06-07 19:14:08,579.44,576.67,560.56,576.67,551.67,592.22,56.11,55.56,56.67,56.67,50.56,56.67,59,43,1130,6612,569.0020000000001,56.2525,72,231
2022-06-07 19:14:14,583.89,578.89,562.22,576.11,554.44,588.89,58.33,57.22,58.33,58.89,52.78,58.89,59,44,1131,6612,571.11,58.192499999999995,78,231
2022-06-07 19:14:20,583.33,580.0,562.22,576.11,554.44,588.89,60.0,59.44,60.56,60.56,54.44,60.56,59,44,1139,6612,571.22,60.14,84,231
2022-06-07 19:14:26,587.22,582.22,563.89,579.44,557.22,589.44,61.67,61.11,62.22,62.22,56.67,62.22,59,44,1146,6612,573.9979999999999,61.805,90,231
2022-06-07 19:14:32,582.78,576.11,563.89,578.89,561.11,592.22,63.33,62.78,64.44,63.89,58.33,63.89,59,38,1014,6612,572.5559999999999,63.61,96,231
2022-06-07 19:14:38,574.44,567.78,560.0,571.67,553.89,590.56,65.0,64.44,65.56,65.56,60.0,65.56,59,38,1006,6612,565.5559999999999,65.14,102,231
2022-06-07 19:14:44,570.56,562.22,562.22,569.44,552.78,589.44,66.11,66.11,67.22,67.22,61.67,66.67,59,38,1003,6612,563.4440000000001,66.66499999999999,108,231
2022-06-07 19:14:50,568.89,560.56,561.67,568.33,551.67,590.0,67.22,67.78,68.33,68.33,63.33,68.33,59,38,1009,6612,562.2239999999999,67.91499999999999,114,231
2022-06-07 19:14:56,568.33,563.89,557.78,567.78,549.44,591.67,68.33,68.89,70.0,70.0,64.44,69.44,58,38,1007,6612,561.444,69.305,120,231
2022-06-07 19:15:02,567.78,565.0,557.22,571.67,552.78,593.33,70.0,70.56,71.11,71.11,66.11,70.56,58,38,1011,6612,562.89,70.69500000000001,126,231
2022-06-07 19:15:08,571.11,562.78,555.56,570.56,552.78,592.22,71.11,71.67,72.78,72.22,67.22,71.67,58,38,1023,6612,562.558,71.945,132,231
2022-06-07 19:15:14,569.44,566.11,558.89,572.22,553.89,595.56,72.22,72.78,73.89,73.33,68.33,73.33,58,38,1023,6612,564.1099999999999,73.05499999999999,138,231
2022-06-07 19:15:20,569.44,563.89,561.11,572.78,555.0,592.78,73.33,74.44,75.0,75.0,70.0,74.44,58,38,1024,6612,564.4440000000001,74.4425,144,231
2022-06-07 19:15:26,566.11,561.67,557.78,571.67,550.56,593.89,74.44,75.56,76.67,76.11,71.11,75.56,58,35,967,6612,561.558,75.69500000000001,150,231
2022-06-07 19:15:32,561.67,558.89,555.56,570.56,546.67,589.44,75.0,76.67,77.78,76.67,72.22,76.11,58,33,953,6612,558.67,76.53,156,231
2022-06-07 19:15:38,557.78,550.0,548.89,568.33,544.44,586.11,76.11,77.78,78.33,77.78,73.33,77.22,58,29,911,6612,553.888,77.5,162,231
2022-06-07 19:15:44,555.0,542.78,546.11,565.0,546.11,585.56,77.22,78.89,79.44,78.89,73.89,78.33,58,29,904,6612,551.0,78.61,168,231
2022-06-07 19:15:50,554.44,541.11,542.78,562.78,546.67,587.22,77.78,80.0,80.56,80.0,75.0,78.89,58,29,908,6612,549.556,79.58500000000001,174,231
2022-06-07 19:15:56,553.33,539.44,543.33,564.44,545.0,583.33,78.89,80.56,81.11,80.56,75.56,80.0,59,34,922,6612,549.108,80.28,180,231
2022-06-07 19:16:02,560.56,550.0,547.78,574.44,548.33,583.89,79.44,81.67,82.22,81.67,76.67,80.56,59,30,1025,6612,556.222,81.25,186,231
2022-06-07 19:16:08,572.22,563.89,552.78,586.11,552.22,587.78,80.56,82.78,83.33,82.78,77.22,81.67,59,30,1038,6612,565.4440000000001,82.36250000000001,192,231
2022-06-07 19:16:14,575.56,566.67,556.11,590.0,556.67,587.22,81.67,83.89,84.44,83.89,78.33,82.78,59,30,1034,6612,569.0020000000001,83.4725,198,231
2022-06-07 19:16:20,575.0,570.0,557.22,590.0,557.78,587.78,82.78,85.0,85.56,84.44,78.89,83.89,60,30,1027,6612,570.0,84.445,204,231
2022-06-07 19:16:26,565.0,553.33,550.56,578.33,551.67,588.89,83.33,86.11,86.67,85.56,80.0,85.0,60,35,897,6612,559.778,85.4175,210,231
2022-06-07 19:16:32,558.89,545.0,542.22,571.11,551.11,584.44,83.89,86.67,87.22,86.11,80.56,85.56,60,31,950,6612,553.6659999999999,85.9725,216,231
2022-06-07 19:16:38,570.0,560.0,550.56,582.22,555.56,585.56,84.44,87.22,88.33,86.67,81.11,86.11,60,30,1043,6612,563.6679999999999,86.665,222,231
2022-06-07 19:16:44,575.0,567.22,554.44,585.0,559.44,588.89,85.56,88.33,88.89,87.78,82.22,87.22,60,30,1041,6612,568.22,87.63999999999999,228,231
2022-06-07 19:16:50,577.78,567.78,556.67,587.22,560.0,587.22,86.67,88.89,90.0,88.33,82.78,87.78,60,31,1047,6612,569.89,88.4725,234,231
2022-06-07 19:16:56,578.89,569.44,558.33,586.11,560.0,588.89,87.22,90.0,91.11,89.44,83.89,88.33,60,31,1052,6612,570.554,89.4425,240,231
2022-06-07 19:17:02,573.33,564.44,556.11,582.22,557.22,584.44,88.33,90.56,91.67,90.0,84.44,89.44,60,32,1019,6612,566.6640000000001,90.14,246,231
2022-06-07 19:17:08,571.11,561.67,553.33,581.11,553.89,583.33,88.89,91.67,92.78,91.11,85.0,90.0,60,31,1015,6612,564.222,91.11250000000001,252,231
2022-06-07 19:17:14,567.22,553.89,550.56,576.67,548.89,584.44,89.44,92.22,93.33,91.67,86.11,90.56,60,32,945,6612,559.446,91.665,258,231
