date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-09-21 22:12:08,533.89,539.44,530.56,552.78,528.89,554.44,46.67,42.78,47.78,43.33,41.11,38.89,63,55,1039,6941,537.112,45.14,0,267
2022-09-21 22:12:14,541.67,546.67,536.11,555.56,535.56,567.22,48.33,45.0,49.44,45.0,42.78,41.11,63,55,1021,6941,543.1139999999999,46.942499999999995,6,267
2022-09-21 22:12:20,547.22,555.56,544.44,563.89,538.33,571.11,50.56,46.67,51.11,47.22,44.44,42.78,63,55,1040,6941,549.888,48.89,12,267
2022-09-21 22:12:26,551.11,560.0,548.33,568.33,542.78,556.11,52.22,48.33,52.78,49.44,46.11,44.44,63,55,1043,6941,554.11,50.692499999999995,18,267
2022-09-21 22:12:32,561.67,563.89,554.44,573.89,550.0,569.44,53.89,50.56,55.0,51.11,47.78,46.67,63,55,1055,6941,560.778,52.64,24,267
2022-09-21 22:12:38,560.0,567.22,557.78,576.11,551.11,578.89,56.11,52.22,56.67,52.78,49.44,48.33,63,56,1031,6941,562.4440000000001,54.445,30,267
2022-09-21 22:12:44,567.22,568.89,563.89,577.78,556.11,586.67,57.78,53.89,58.33,55.0,51.11,50.0,63,55,1062,6941,566.778,56.25,36,267
2022-09-21 22:12:50,567.22,577.22,566.67,578.89,560.0,584.44,59.44,55.56,60.0,56.67,52.78,51.67,63,55,1057,6941,570.0,57.917500000000004,42,267
2022-09-21 22:12:56,568.89,579.44,568.89,581.11,567.78,591.11,61.11,57.22,61.67,58.33,54.44,53.89,63,55,1053,6941,573.222,59.582499999999996,48,267
2022-09-21 22:13:02,573.89,580.56,567.22,581.67,564.44,596.67,62.78,58.89,63.33,60.0,56.11,55.0,63,55,1062,6941,573.5559999999999,61.25,54,267
2022-09-21 22:13:08,576.11,581.67,571.11,586.67,567.78,594.44,64.44,60.56,65.0,61.67,57.78,56.67,63,55,1067,6941,576.668,62.917500000000004,60,267
2022-09-21 22:13:14,576.11,586.11,573.33,590.56,569.44,607.22,65.56,62.22,66.67,63.33,59.44,58.33,63,55,1053,6941,579.11,64.445,66,267
