date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-11-03 22:06:38,562.78,546.11,540.56,552.22,537.22,580.56,38.33,35.0,38.33,36.67,30.0,36.67,30,54,1077,7125,547.778,37.082499999999996,0,282
2022-11-03 22:06:44,568.89,550.0,542.22,556.67,538.89,585.56,40.0,37.22,40.0,38.89,32.22,38.89,30,53,1093,7125,551.334,39.0275,6,282
2022-11-03 22:06:50,572.22,556.11,548.33,559.44,543.89,578.33,42.22,39.44,42.22,41.11,33.89,41.11,30,53,1106,7125,555.9979999999999,41.2475,12,282
2022-11-03 22:06:56,575.0,558.89,550.56,563.89,544.44,584.44,43.89,41.11,44.44,43.33,36.11,42.78,30,53,1100,7125,558.5559999999999,43.192499999999995,18,282
2022-11-03 22:07:02,577.78,560.56,555.0,564.44,549.44,585.56,46.11,43.33,46.67,45.0,38.33,45.0,30,53,1103,7125,561.444,45.2775,24,282
2022-11-03 22:07:08,582.22,562.22,556.11,563.89,552.22,588.33,47.78,45.56,48.89,47.22,40.0,47.22,30,53,1111,7125,563.332,47.362500000000004,30,282
2022-11-03 22:07:14,582.22,565.0,561.11,566.67,553.33,587.78,49.44,47.22,50.56,48.89,42.22,48.89,30,53,1110,7125,565.6659999999999,49.0275,36,282
2022-11-03 22:07:20,583.89,563.89,563.33,566.67,557.22,587.78,51.11,49.44,52.78,50.56,43.89,50.56,30,53,1101,7125,567.0,50.9725,42,282
2022-11-03 22:07:26,587.22,567.78,565.56,570.0,557.78,590.0,52.78,51.11,54.44,52.78,46.11,52.22,30,53,1118,7125,569.668,52.777499999999996,48,282
2022-11-03 22:07:32,586.67,568.89,564.44,572.78,559.44,592.78,54.44,52.78,56.11,54.44,47.78,53.89,30,53,1125,7125,570.444,54.442499999999995,54,282
2022-11-03 22:07:38,590.56,572.78,564.44,572.22,562.78,590.56,55.56,54.44,57.78,56.11,49.44,55.56,30,53,1131,7125,572.5559999999999,55.9725,60,282
2022-11-03 22:07:44,594.44,574.44,566.11,575.56,565.0,592.22,57.22,56.11,59.44,57.78,51.11,57.22,30,53,1137,7125,575.11,57.637499999999996,66,282
2022-11-03 22:07:50,593.33,576.11,570.0,574.44,566.67,591.11,58.89,57.78,61.11,59.44,52.78,58.33,30,53,1138,7125,576.11,59.305,72,282
2022-11-03 22:07:56,597.78,577.22,568.33,578.33,565.0,591.11,60.56,59.44,62.78,60.56,54.44,60.0,30,53,1146,7125,577.332,60.835,78,282
2022-11-03 22:08:02,596.11,577.78,570.0,580.0,567.78,597.22,61.67,61.11,64.44,62.22,55.56,61.67,30,53,1143,7125,578.3340000000001,62.36,84,282
2022-11-03 22:08:08,600.0,576.11,570.56,577.78,571.11,591.67,62.78,62.78,65.56,63.89,57.22,62.78,30,53,1144,7125,579.112,63.7525,90,282
2022-11-03 22:08:14,598.33,578.89,570.0,581.11,573.89,600.0,64.44,64.44,67.22,65.0,58.89,64.44,30,49,1084,7125,580.444,65.275,96,282
2022-11-03 22:08:20,588.89,577.22,567.78,583.33,572.22,600.56,65.56,65.56,68.33,66.11,60.0,65.56,30,49,1075,7125,577.8880000000001,66.39,102,282
2022-11-03 22:08:26,588.33,575.0,570.0,580.56,567.78,601.67,66.67,66.67,69.44,67.78,61.11,66.11,30,49,1069,7125,576.3340000000001,67.64,108,282
2022-11-03 22:08:32,584.44,573.33,574.44,582.78,567.22,601.67,67.22,67.78,70.56,68.89,62.78,67.22,30,49,1073,7125,576.442,68.6125,114,282
2022-11-03 22:08:38,590.56,578.89,573.33,582.78,567.78,602.78,68.33,68.89,72.22,70.0,63.89,68.33,30,49,1087,7125,578.6679999999999,69.86,120,282
2022-11-03 22:08:44,587.78,576.67,573.89,583.33,571.67,606.67,69.44,70.0,73.33,71.11,65.0,69.44,30,49,1092,7125,578.6679999999999,70.97,126,282
2022-11-03 22:08:50,593.89,580.0,575.56,581.67,571.67,604.44,70.0,71.11,74.44,72.22,66.11,70.56,30,49,1111,7125,580.558,71.9425,132,282
2022-11-03 22:08:56,595.56,581.67,572.22,581.67,574.44,605.0,71.11,72.22,75.0,73.33,66.67,71.11,30,49,1114,7125,581.112,72.91499999999999,138,282
2022-11-03 22:09:02,589.44,579.44,572.22,583.33,576.67,607.22,71.67,73.33,76.11,73.89,67.78,72.22,30,47,1057,7125,580.22,73.75,144,282
2022-11-03 22:09:08,590.0,582.22,573.33,580.56,574.44,606.11,72.78,73.89,77.22,75.0,68.89,72.78,30,47,1046,7125,580.11,74.7225,150,282
2022-11-03 22:09:14,583.89,578.33,576.11,582.78,577.22,610.56,73.33,75.0,78.33,76.11,70.0,73.89,30,47,1045,7125,579.6659999999999,75.6925,156,282
2022-11-03 22:09:20,584.44,580.0,572.22,584.44,578.89,608.33,73.89,76.11,78.89,76.67,71.11,74.44,30,47,1054,7125,579.998,76.39,162,282
2022-11-03 22:09:26,587.22,583.33,572.22,585.0,576.67,611.67,74.44,77.22,80.0,77.78,71.67,75.0,31,44,1010,7125,580.8880000000001,77.36,168,282
2022-11-03 22:09:32,576.67,577.78,573.89,586.11,573.33,603.89,75.0,77.78,80.56,78.33,72.22,75.56,31,43,969,7125,577.5559999999999,77.9175,174,282
2022-11-03 22:09:38,578.33,577.78,572.78,587.22,568.33,602.22,75.56,78.89,81.11,78.89,73.33,76.11,31,43,968,7125,576.888,78.6125,180,282
2022-11-03 22:09:44,577.22,575.56,572.78,584.44,568.89,598.89,76.11,79.44,81.67,79.44,73.89,76.67,31,42,973,7125,575.778,79.165,186,282
2022-11-03 22:09:50,575.56,573.33,570.56,583.33,571.67,601.67,76.67,80.0,82.22,80.0,74.44,77.22,31,42,980,7125,574.89,79.7225,192,282
2022-11-03 22:09:56,575.56,578.33,570.56,585.56,571.11,600.56,77.22,81.11,83.33,81.11,75.0,77.78,32,43,988,7125,576.2239999999999,80.6925,198,282
2022-11-03 22:10:02,575.56,577.22,572.22,582.78,570.0,598.89,77.22,81.67,83.89,81.67,75.56,78.33,32,43,990,7125,575.5559999999999,81.1125,204,282
2022-11-03 22:10:08,579.44,575.56,573.33,584.44,572.78,601.67,77.78,82.22,84.44,82.22,76.11,78.89,32,42,1014,7125,577.11,81.66499999999999,210,282
2022-11-03 22:10:14,584.44,577.78,571.67,583.33,572.22,598.89,78.33,82.78,85.0,82.78,76.67,79.44,32,42,1098,7125,577.8879999999999,82.2225,216,282
2022-11-03 22:10:20,585.56,582.78,570.56,583.33,571.67,597.22,78.89,83.89,86.11,83.33,77.22,80.56,32,42,1113,7125,578.78,83.05499999999999,222,282
2022-11-03 22:10:26,587.78,583.33,575.0,584.44,572.22,592.78,79.44,84.44,86.67,84.44,77.78,81.11,32,42,1109,7125,580.5540000000001,83.7475,228,282
2022-11-03 22:10:32,584.44,581.67,572.22,586.11,569.44,594.44,80.0,85.0,87.22,85.0,78.33,81.67,32,42,1099,7125,578.7760000000001,84.305,234,282
2022-11-03 22:10:38,583.89,580.56,570.56,588.33,567.22,595.56,80.56,86.11,87.78,85.56,78.89,82.22,32,42,1093,7125,578.1119999999999,85.0025,240,282
2022-11-03 22:10:44,580.0,578.33,572.22,585.0,573.89,594.44,81.11,86.67,88.33,86.11,79.44,82.78,32,42,995,7125,577.888,85.555,246,282
2022-11-03 22:10:50,577.22,578.89,570.56,585.0,576.11,600.0,81.11,87.22,88.89,86.67,80.0,83.33,32,42,1004,7125,577.556,85.9725,252,282
2022-11-03 22:10:56,576.11,576.67,573.33,583.33,578.89,605.0,81.67,87.78,89.44,87.22,80.56,83.33,32,42,998,7125,577.6659999999999,86.5275,258,282
2022-11-03 22:11:02,577.22,578.33,570.56,583.33,575.56,607.78,81.67,88.33,89.44,87.78,81.11,83.89,32,43,997,7125,577.0,86.805,264,282
2022-11-03 22:11:08,577.78,578.89,568.89,581.67,577.78,604.44,82.22,88.89,90.0,87.78,81.67,84.44,32,42,1004,7125,577.0020000000001,87.2225,270,282
2022-11-03 22:11:14,575.56,577.22,572.22,584.44,578.33,605.56,82.22,89.44,90.56,88.33,82.22,84.44,32,43,1006,7125,577.554,87.6375,276,282
2022-11-03 22:11:20,578.33,575.56,575.56,586.67,575.56,606.11,82.78,90.0,90.56,88.89,82.22,85.0,32,42,1006,7125,578.336,88.0575,282,282
2022-11-03 22:11:26,576.67,578.33,575.0,583.89,578.33,607.22,82.78,90.0,91.11,88.89,82.78,85.56,32,42,1003,7125,578.444,88.195,288,282
2022-11-03 22:11:32,579.44,576.67,573.33,587.22,579.44,602.22,83.33,90.56,91.11,89.44,83.33,85.56,32,42,1004,7125,579.22,88.61,294,282
2022-11-03 22:11:38,578.89,575.56,572.22,583.89,578.89,602.22,83.33,91.11,91.67,90.0,83.33,86.11,32,43,1009,7125,577.89,89.0275,300,282
2022-11-03 22:11:44,578.89,574.44,575.0,582.22,577.22,610.56,83.89,91.67,92.22,90.56,83.89,86.11,32,42,1006,7125,577.5540000000001,89.585,306,282
2022-11-03 22:11:50,580.56,577.78,575.0,583.89,574.44,606.67,83.89,92.22,92.22,90.56,84.44,86.67,32,42,1020,7125,578.3340000000001,89.72250000000001,312,282
2022-11-03 22:11:56,579.44,576.11,575.56,583.89,576.67,610.56,83.89,92.22,92.78,91.11,84.44,86.67,32,43,1018,7125,578.3340000000001,90.0,318,282
2022-11-03 22:12:02,582.78,576.67,573.33,582.22,578.33,605.0,84.44,92.78,93.33,91.67,85.0,87.22,32,42,1016,7125,578.6659999999999,90.555,324,282
2022-11-03 22:12:08,579.44,576.11,575.56,584.44,578.33,604.44,84.44,93.33,93.33,91.67,85.0,87.78,32,42,1031,7125,578.7760000000001,90.6925,330,282
