date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-05-25 17:43:20,570.0,574.44,557.78,581.11,563.33,607.78,73.89,75.56,80.56,78.89,72.22,72.78,63,45,1044,6595,569.332,77.225,0,229
2022-05-25 17:43:26,570.0,571.67,557.78,582.78,561.67,606.11,75.0,76.67,81.67,80.0,73.33,74.44,62,46,1046,6595,568.78,78.33500000000001,6,229
2022-05-25 17:43:32,572.78,572.22,558.89,578.89,563.33,608.89,76.67,77.78,82.78,81.11,74.44,75.0,62,44,1059,6595,569.222,79.585,12,229
2022-05-25 17:43:38,574.44,572.78,557.22,579.44,567.78,602.22,77.22,78.89,83.89,82.22,75.56,76.67,62,45,1061,6595,570.332,80.555,18,229
2022-05-25 17:43:44,576.11,575.0,561.11,581.11,568.89,608.89,78.33,80.56,85.0,83.33,76.67,77.78,62,45,1070,6595,572.4440000000001,81.80499999999999,24,229
2022-05-25 17:43:50,580.0,576.67,561.11,582.22,568.33,616.11,79.44,81.67,86.11,83.89,77.78,78.89,62,44,1077,6595,573.6659999999999,82.7775,30,229
2022-05-25 17:43:56,580.56,578.33,562.22,584.44,570.0,615.0,80.56,82.78,87.22,85.0,78.89,79.44,62,44,1079,6595,575.11,83.89,36,229
2022-05-25 17:44:02,580.0,579.44,563.89,586.67,571.11,614.44,81.67,83.33,87.78,86.11,80.0,80.56,62,44,1079,6595,576.222,84.7225,42,229
2022-05-25 17:44:08,579.44,580.0,564.44,589.44,571.11,615.56,82.78,84.44,88.89,86.67,80.56,81.67,62,45,1080,6595,576.8860000000001,85.69500000000001,48,229
2022-05-25 17:44:14,583.33,578.33,562.78,590.0,572.22,619.44,83.33,85.56,90.0,87.78,81.67,82.78,62,44,1081,6595,577.332,86.66749999999999,54,229
2022-05-25 17:44:20,587.78,580.56,568.33,590.0,571.11,620.56,84.44,86.67,91.11,88.89,82.78,83.89,62,44,1080,6595,579.556,87.7775,60,229
2022-05-25 17:44:26,587.78,582.22,570.56,588.89,571.67,622.78,85.56,87.78,92.22,89.44,83.89,84.44,62,43,1085,6595,580.2239999999999,88.75,66,229
2022-05-25 17:44:32,587.78,583.33,567.78,593.89,574.44,617.78,86.11,88.33,92.78,90.56,84.44,85.56,62,44,1086,6595,581.4440000000001,89.44500000000001,72,229
2022-05-25 17:44:38,586.67,581.67,568.89,591.11,576.11,613.89,87.22,89.44,93.89,91.11,85.56,86.67,62,43,1089,6595,580.8900000000001,90.415,78,229
2022-05-25 17:44:44,586.67,582.22,572.22,594.44,575.56,617.78,87.78,90.56,94.44,91.67,86.67,87.22,62,43,1081,6595,582.222,91.1125,84,229
2022-05-25 17:44:50,588.33,583.33,570.0,595.0,575.56,618.89,88.33,91.11,95.56,92.78,87.22,88.33,62,45,1090,6595,582.444,91.945,90,229
