date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2023-03-31 19:50:56,513.33,525.0,543.33,555.0,546.67,579.44,37.78,40.56,38.33,37.22,32.22,35.56,40,50,1042,7156,536.6659999999999,38.4725,0,287
2023-03-31 19:51:02,512.78,527.22,546.67,561.11,550.56,585.56,39.44,42.78,40.56,39.44,34.44,37.78,40,50,1046,7156,539.668,40.555,6,287
2023-03-31 19:51:08,516.11,528.33,552.78,565.56,551.11,584.44,41.67,45.0,42.78,41.11,36.11,40.0,39,50,1046,7156,542.778,42.64,12,287
2023-03-31 19:51:14,520.0,532.78,553.89,570.0,555.0,588.89,43.33,47.22,45.0,43.33,38.33,41.67,39,50,1056,7156,546.3340000000001,44.72,18,287
2023-03-31 19:51:20,522.78,537.22,552.22,572.78,553.33,593.33,45.56,49.44,46.67,45.0,40.0,43.33,39,49,1066,7156,547.6659999999999,46.667500000000004,24,287
2023-03-31 19:51:26,525.56,540.0,559.44,573.33,551.11,593.89,47.22,51.11,48.33,47.22,41.67,45.0,39,49,1061,7156,549.888,48.47,30,287
2023-03-31 19:51:32,526.11,541.11,561.11,577.78,551.11,596.11,48.33,53.33,50.0,48.89,43.33,46.67,39,50,1069,7156,551.444,50.1375,36,287
2023-03-31 19:51:38,532.78,543.33,562.22,577.78,554.44,597.22,50.56,55.0,52.22,50.56,45.56,48.33,39,50,1072,7156,554.11,52.085,42,287
2023-03-31 19:51:44,537.78,546.67,565.0,578.89,556.11,598.89,52.22,57.22,53.89,52.22,47.22,50.0,39,50,1078,7156,556.89,53.887499999999996,48,287
2023-03-31 19:51:50,537.78,547.78,565.0,578.89,557.22,596.11,53.89,58.89,55.56,53.89,48.89,51.67,39,50,1086,7156,557.3340000000001,55.557500000000005,54,287
2023-03-31 19:51:56,541.11,549.44,566.11,580.0,558.89,598.89,55.0,60.56,56.67,55.56,50.56,52.78,40,50,1080,7156,559.11,56.947500000000005,60,287
2023-03-31 19:52:02,541.67,546.11,565.0,580.56,567.22,596.67,56.67,62.22,58.33,57.22,52.22,54.44,40,49,1069,7156,560.1120000000001,58.61,66,287
2023-03-31 19:52:08,538.89,547.78,568.89,583.33,571.67,595.0,58.33,63.89,60.0,58.33,53.33,56.11,40,50,1077,7156,562.112,60.1375,72,287
2023-03-31 19:52:14,538.33,548.89,571.11,581.67,568.89,596.67,60.0,65.56,61.11,60.0,55.0,57.22,40,49,1084,7156,561.778,61.667500000000004,78,287
2023-03-31 19:52:20,543.33,550.0,573.33,583.33,571.67,598.33,61.11,67.22,62.22,61.11,56.67,58.33,40,50,1087,7156,564.332,62.91499999999999,84,287
2023-03-31 19:52:26,545.56,552.22,566.11,583.89,570.56,605.0,62.22,68.33,63.89,62.78,57.78,60.0,40,50,1099,7156,563.6679999999999,64.305,90,287
