date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2023-04-09 15:07:46,503.89,555.0,532.78,545.0,541.67,565.0,35.56,32.22,33.89,32.78,26.67,35.0,42,56,1103,7159,535.668,33.6125,0,288
2023-04-09 15:07:52,501.11,552.22,531.67,547.78,538.89,571.11,37.78,35.0,36.67,35.0,29.44,37.22,42,47,925,7159,534.334,36.1125,6,288
2023-04-09 15:07:58,498.89,547.22,535.56,550.56,547.22,566.11,40.0,36.67,38.33,37.22,31.67,38.89,42,45,911,7159,535.89,38.055,12,288
2023-04-09 15:08:04,501.11,547.78,535.0,554.44,547.78,569.44,41.11,38.89,40.0,38.89,33.33,40.56,41,46,914,7159,537.222,39.7225,18,288
2023-04-09 15:08:10,502.22,546.11,538.89,556.11,552.22,568.89,42.78,40.56,42.22,41.11,35.56,42.22,41,45,933,7159,539.11,41.667500000000004,24,288
2023-04-09 15:08:16,502.78,548.33,539.44,555.56,556.11,571.11,44.44,42.78,43.89,42.78,37.78,43.89,41,46,938,7159,540.4440000000001,43.472500000000004,30,288
2023-04-09 15:08:22,503.89,552.22,539.44,555.0,551.67,576.67,46.11,44.44,46.11,44.44,39.44,45.56,41,49,1091,7159,540.4440000000001,45.275,36,288
2023-04-09 15:08:28,513.89,565.56,548.33,562.22,556.67,573.33,48.33,46.67,47.78,46.67,41.11,47.78,41,49,1127,7159,549.3340000000001,47.3625,42,288
2023-04-09 15:08:34,514.44,569.44,551.11,569.44,558.89,577.22,50.0,48.89,50.0,48.89,43.33,49.44,41,49,1067,7159,552.664,49.44499999999999,48,288
2023-04-09 15:08:40,510.56,565.0,555.56,570.0,560.0,587.78,52.22,50.56,51.67,50.56,45.0,51.11,41,50,1027,7159,552.2239999999999,51.2525,54,288
2023-04-09 15:08:46,509.44,570.56,553.89,571.67,557.78,596.11,53.33,52.22,53.89,52.22,47.22,52.78,41,49,1033,7159,552.668,52.915,60,288
2023-04-09 15:08:52,509.44,568.89,556.11,569.44,567.78,594.44,55.0,53.89,55.56,53.89,48.89,53.89,41,49,1054,7159,554.332,54.584999999999994,66,288
2023-04-09 15:08:58,510.56,570.56,556.11,569.44,573.33,593.33,56.11,55.56,57.22,55.56,50.56,55.56,41,49,1068,7159,556.0,56.1125,72,288
2023-04-09 15:09:04,508.89,574.44,560.56,572.22,567.78,598.89,57.78,57.22,58.89,57.22,52.22,57.22,41,49,1061,7159,556.7779999999999,57.777499999999996,78,288
2023-04-09 15:09:10,510.56,572.22,562.22,572.22,567.78,598.89,58.89,58.33,60.56,58.89,53.33,58.33,41,49,1059,7159,557.0,59.167500000000004,84,288
2023-04-09 15:09:16,512.78,575.0,563.89,573.89,567.78,595.56,60.56,60.0,62.22,60.0,55.0,60.0,41,56,1196,7159,558.668,60.695,90,288
2023-04-09 15:09:22,512.78,581.11,568.89,577.22,570.56,597.78,62.22,61.67,63.33,61.67,56.11,61.11,41,54,1037,7159,562.112,62.2225,96,288
2023-04-09 15:09:28,510.56,581.11,565.56,575.0,572.22,604.44,63.33,62.78,65.0,63.33,57.78,62.22,41,53,1033,7159,560.89,63.61,102,288
