date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-10-15 19:02:24,570.0,565.0,550.56,563.89,546.11,577.78,80.56,86.11,88.33,88.33,81.11,86.11,68,48,1155,7097,559.112,85.8325,0,281
2022-10-15 19:02:30,572.78,569.44,552.78,570.0,548.33,590.0,81.67,87.22,89.44,89.44,82.22,87.22,68,48,1147,7097,562.6659999999999,86.9425,6,281
2022-10-15 19:02:36,575.56,571.67,557.22,572.78,552.78,582.78,82.78,88.33,91.11,90.56,83.33,88.33,68,47,1160,7097,566.0020000000001,88.19500000000001,12,281
2022-10-15 19:02:42,574.44,574.44,557.78,575.0,555.0,585.56,83.89,89.44,92.22,91.67,84.44,89.44,68,47,1156,7097,567.332,89.30499999999999,18,281
2022-10-15 19:02:48,580.0,576.11,560.56,576.67,557.22,592.22,85.0,90.56,93.33,93.33,85.56,90.56,68,47,1154,7097,570.1120000000001,90.55499999999999,24,281
2022-10-15 19:02:54,585.56,577.22,563.89,581.67,562.22,590.0,86.11,92.22,95.0,94.44,87.22,91.67,68,46,1155,7097,574.1120000000001,91.9425,30,281
2022-10-15 19:03:00,578.33,575.56,562.78,580.56,560.0,583.33,87.22,93.33,96.11,95.56,88.33,92.78,68,41,1048,7097,571.4459999999999,93.055,36,281
2022-10-15 19:03:06,570.56,565.0,557.22,579.44,555.56,586.67,87.78,93.89,96.67,96.11,89.44,93.89,68,40,1085,7097,565.556,93.61250000000001,42,281
2022-10-15 19:03:12,572.22,568.89,556.11,581.11,557.22,592.78,88.89,95.0,97.78,97.22,90.56,94.44,68,41,1086,7097,567.11,94.7225,48,281
2022-10-15 19:03:18,575.56,570.0,556.11,580.56,560.0,597.78,90.0,96.11,98.89,98.33,91.11,95.56,68,24,1092,7097,568.446,95.8325,54,281
2022-10-15 19:03:24,571.11,570.0,556.67,579.44,557.22,599.44,91.11,97.22,100.0,98.89,92.22,96.67,68,12,1023,7097,566.8880000000001,96.80499999999999,60,281
2022-10-15 19:03:30,568.89,567.78,556.11,584.44,555.56,593.89,91.67,98.33,100.56,100.0,92.78,96.67,68,19,1051,7097,566.556,97.64,66,281
2022-10-15 19:03:36,573.33,566.67,557.22,580.0,556.11,595.0,92.78,98.89,101.67,100.56,93.89,97.78,67,7,1056,7097,566.666,98.47500000000001,72,281
2022-10-15 19:03:42,570.56,563.33,557.22,579.44,555.56,598.89,93.33,100.0,102.78,101.67,94.44,98.33,67,5,1068,7097,565.222,99.44500000000001,78,281
2022-10-15 19:03:48,573.33,568.33,557.22,586.67,557.78,597.22,94.44,100.56,103.33,102.22,95.56,99.44,67,9,1081,7097,568.6659999999999,100.13749999999999,84,281
2022-10-15 19:03:54,576.11,567.78,562.78,585.56,562.22,595.0,95.0,101.67,104.44,103.33,96.11,100.0,67,5,1057,7097,570.89,101.11,90,281
2022-10-15 19:04:00,578.89,571.67,560.56,584.44,565.0,594.44,96.11,102.78,105.0,103.89,97.22,100.56,67,4,1079,7097,572.112,101.945,96,281
2022-10-15 19:04:06,576.67,572.22,562.78,585.56,563.33,595.56,96.67,103.33,106.11,104.44,97.78,101.11,67,5,1078,7097,572.1119999999999,102.6375,102,281
2022-10-15 19:04:12,580.56,574.44,563.33,584.44,565.56,595.56,97.78,103.89,106.67,105.0,98.33,102.22,67,3,1089,7097,573.6659999999999,103.33500000000001,108,281
2022-10-15 19:04:18,578.33,576.11,563.89,584.44,565.56,595.0,98.33,105.0,107.78,106.11,99.44,102.78,68,5,1082,7097,573.6659999999999,104.305,114,281
2022-10-15 19:04:24,577.78,574.44,565.56,586.11,563.33,593.33,98.89,105.56,108.33,106.67,100.0,103.33,68,5,1070,7097,573.444,104.8625,120,281
2022-10-15 19:04:30,576.67,573.33,561.11,582.78,563.33,592.78,99.44,106.67,109.44,107.22,100.56,103.89,68,5,1087,7097,571.4440000000001,105.6925,126,281
2022-10-15 19:04:36,581.67,573.89,560.0,583.33,563.33,595.0,100.0,107.22,110.0,108.33,101.11,105.0,68,16,1064,7097,572.444,106.3875,132,281
2022-10-15 19:04:42,580.0,573.33,563.89,587.22,565.56,595.0,101.11,107.78,111.11,108.89,102.22,105.56,68,17,1060,7097,573.9999999999999,107.2225,138,281
2022-10-15 19:04:48,580.0,574.44,565.0,586.67,566.67,600.0,101.11,108.33,111.67,109.44,102.78,106.11,67,13,1027,7097,574.556,107.6375,144,281
2022-10-15 19:04:54,576.11,568.89,563.89,585.0,562.22,596.67,101.67,108.89,112.22,110.0,102.78,106.11,67,10,1030,7097,571.222,108.195,150,281
2022-10-15 19:05:00,573.33,568.89,563.33,590.0,559.44,593.33,101.67,109.44,112.22,110.0,103.33,106.67,67,11,1015,7097,570.998,108.33250000000001,156,281
2022-10-15 19:05:06,576.67,568.33,567.22,586.67,560.56,597.22,102.22,110.0,112.78,110.56,103.89,107.22,67,12,1028,7097,571.89,108.89,162,281
2022-10-15 19:05:12,578.33,571.11,563.89,585.0,561.11,596.11,102.78,110.0,112.78,111.11,104.44,107.22,67,8,1047,7097,571.888,109.1675,168,281
2022-10-15 19:05:18,578.89,569.44,563.33,587.22,562.22,597.22,103.33,110.56,113.89,111.11,104.44,107.78,67,9,1056,7097,572.22,109.7225,174,281
2022-10-15 19:05:24,581.11,571.67,567.22,591.67,561.11,601.11,103.89,111.11,114.44,111.67,105.0,108.33,67,9,1049,7097,574.556,110.2775,180,281
2022-10-15 19:05:30,580.56,572.22,568.89,593.89,561.11,595.0,103.89,111.67,114.44,112.22,105.56,108.33,67,10,1005,7097,575.3340000000001,110.555,186,281
2022-10-15 19:05:36,577.78,571.11,566.11,590.0,558.89,595.56,104.44,111.67,115.0,112.78,105.56,108.89,68,9,1012,7097,572.778,110.9725,192,281
2022-10-15 19:05:42,580.0,570.0,566.11,587.78,558.89,596.67,104.44,112.22,115.56,112.78,106.11,108.89,68,10,1025,7097,572.556,111.25,198,281
2022-10-15 19:05:48,581.67,570.0,567.78,587.22,561.11,595.0,105.0,112.78,116.11,113.33,106.67,109.44,68,13,1032,7097,573.556,111.80499999999999,204,281
2022-10-15 19:05:54,583.33,572.78,564.44,585.0,563.89,596.67,105.56,113.33,116.11,113.89,106.67,109.44,68,11,1041,7097,573.888,112.2225,210,281
2022-10-15 19:06:00,581.11,574.44,565.56,586.67,563.33,598.33,105.56,113.33,116.67,114.44,107.22,110.0,68,14,1029,7097,574.222,112.5,216,281
2022-10-15 19:06:06,577.22,568.89,563.89,582.22,560.56,595.0,106.11,113.89,116.67,114.44,107.78,110.56,68,14,1030,7097,570.556,112.7775,222,281
2022-10-15 19:06:12,580.0,568.33,568.33,581.67,562.22,595.56,106.67,113.89,117.22,115.0,107.78,110.56,68,15,1035,7097,572.11,113.195,228,281
2022-10-15 19:06:18,580.0,568.33,563.89,581.11,563.33,593.33,106.67,114.44,117.22,115.0,108.33,110.56,68,16,1041,7097,571.332,113.33250000000001,234,281
2022-10-15 19:06:24,580.0,572.22,563.89,583.33,560.56,597.78,107.22,114.44,117.78,115.56,108.33,110.56,68,17,1049,7097,572.0,113.75,240,281
2022-10-15 19:06:30,583.33,573.89,563.33,585.56,565.56,598.33,107.78,114.44,118.33,115.56,108.33,111.11,68,17,1057,7097,574.3340000000001,114.0275,246,281
