date,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,OAT,FF,RPM,HOURS,EGT_MEAN,CHT_MEAN,SECONDS,ID
2022-09-17 15:08:54,528.89,531.67,512.22,541.11,526.11,560.0,33.33,32.78,35.56,33.89,28.89,31.67,53,49,967,6857,528.0,33.89,0,262
2022-09-17 15:09:00,536.11,536.11,522.22,548.89,532.78,562.22,35.56,35.0,37.78,35.56,30.56,33.89,53,49,962,6857,535.222,35.975,6,262
2022-09-17 15:09:06,540.0,542.22,528.33,553.89,535.56,572.22,37.78,37.22,40.0,37.78,32.78,35.56,53,49,983,6857,540.0,38.195,12,262
2022-09-17 15:09:12,543.89,548.89,536.67,558.33,540.0,568.33,39.44,38.89,41.67,39.44,34.44,37.78,53,49,989,6857,545.5559999999999,39.86,18,262
2022-09-17 15:09:18,547.22,550.0,542.22,560.0,547.78,573.89,41.67,41.11,43.89,41.67,36.67,39.44,53,49,998,6857,549.4440000000001,42.085,24,262
2022-09-17 15:09:24,556.67,560.0,547.78,563.89,550.0,590.0,43.89,43.33,46.11,43.89,38.33,41.67,53,52,1042,6857,555.668,44.30499999999999,30,262
2022-09-17 15:09:30,563.33,563.89,554.44,566.11,557.22,591.67,45.56,45.0,47.78,45.56,40.56,43.33,53,51,1048,6857,560.9979999999999,45.975,36,262
2022-09-17 15:09:36,567.22,570.0,559.44,566.67,559.44,592.78,47.78,47.22,50.0,47.78,42.22,45.56,53,51,1053,6857,564.554,48.195,42,262
2022-09-17 15:09:42,573.89,572.22,562.78,568.33,561.11,601.11,49.44,48.89,51.67,50.0,44.44,47.22,53,52,1054,6857,567.666,50.0,48,262
2022-09-17 15:09:48,572.78,578.33,566.67,572.22,564.44,604.44,51.67,51.11,53.89,51.67,46.11,48.89,53,52,1064,6857,570.888,52.08500000000001,54,262
2022-09-17 15:09:54,580.0,576.67,567.22,576.11,567.78,608.33,53.33,52.78,55.56,53.33,48.33,50.56,53,52,1071,6857,573.5559999999999,53.75,60,262
2022-09-17 15:10:00,577.22,580.0,566.67,580.0,572.78,612.22,55.0,54.44,57.22,55.56,50.0,52.22,53,52,1075,6857,575.3340000000001,55.555,66,262
2022-09-17 15:10:06,579.44,581.67,571.11,583.89,570.56,607.78,56.67,56.11,59.44,57.22,51.67,53.89,53,52,1081,6857,577.3340000000001,57.36,72,262
2022-09-17 15:10:12,581.67,581.67,570.0,580.56,572.22,607.22,58.33,57.78,61.11,58.89,53.89,55.56,53,52,1090,6857,577.2239999999999,59.0275,78,262
2022-09-17 15:10:18,583.33,581.67,574.44,582.22,570.0,611.67,60.0,59.44,62.78,61.11,55.0,57.22,53,52,1081,6857,578.332,60.832499999999996,84,262
2022-09-17 15:10:24,582.22,585.56,576.67,586.11,568.89,609.44,61.67,61.11,64.44,62.78,56.67,58.89,53,52,1099,6857,579.89,62.5,90,262
2022-09-17 15:10:30,582.22,586.67,576.67,587.22,572.22,609.44,63.33,62.78,66.11,63.89,58.33,60.56,53,51,1088,6857,581.0,64.0275,96,262
2022-09-17 15:10:36,582.78,588.33,576.11,585.0,570.56,611.11,64.44,63.89,67.78,65.56,60.0,62.22,53,52,1085,6857,580.556,65.41749999999999,102,262
2022-09-17 15:10:42,585.56,586.67,575.56,583.89,568.89,615.56,66.11,65.56,69.44,67.22,61.67,63.33,53,52,1091,6857,580.1139999999999,67.08250000000001,108,262
2022-09-17 15:10:48,586.67,591.11,575.0,585.56,572.22,611.67,67.22,66.67,70.56,68.33,63.33,64.44,53,52,1084,6857,582.1120000000001,68.195,114,262
2022-09-17 15:10:54,588.33,588.33,578.89,586.67,575.0,616.11,68.33,68.33,72.22,70.0,64.44,66.11,53,52,1093,6857,583.4440000000001,69.72,120,262
2022-09-17 15:11:00,588.89,590.56,579.44,590.0,576.11,608.89,69.44,69.44,73.33,71.11,66.11,67.22,53,52,1095,6857,585.0,70.83,126,262
2022-09-17 15:11:06,590.0,590.0,579.44,591.11,574.44,616.67,71.11,71.11,74.44,72.22,67.22,68.33,53,52,1089,6857,584.998,72.22,132,262
2022-09-17 15:11:12,592.22,592.22,582.78,593.33,578.89,621.11,72.22,72.22,76.11,73.89,68.33,69.44,53,51,1107,6857,587.888,73.61,138,262
2022-09-17 15:11:18,591.11,592.78,578.33,595.56,578.33,622.78,73.33,73.33,77.22,75.0,70.0,70.56,53,51,1114,6857,587.222,74.72,144,262
2022-09-17 15:11:24,587.22,592.22,583.33,595.56,578.89,622.22,74.44,73.89,78.33,76.11,71.11,71.67,53,52,1080,6857,587.444,75.6925,150,262
2022-09-17 15:11:30,587.78,593.89,583.33,595.56,581.11,622.22,75.56,75.56,79.44,77.22,72.22,72.78,53,52,1074,6857,588.3340000000001,76.945,156,262
2022-09-17 15:11:36,588.33,592.78,581.67,592.22,580.56,617.78,76.11,76.11,80.56,77.78,73.33,73.89,53,52,1061,6857,587.112,77.64,162,262
2022-09-17 15:11:42,586.67,591.11,581.11,595.56,580.0,626.67,77.22,77.22,81.67,78.89,74.44,74.44,53,51,1053,6857,586.89,78.75,168,262
2022-09-17 15:11:48,588.33,594.44,581.67,596.67,582.78,619.44,77.78,78.33,82.78,80.0,75.56,75.56,53,52,1066,6857,588.778,79.7225,174,262
2022-09-17 15:11:54,591.11,595.0,582.22,596.11,585.0,616.67,78.89,78.89,83.89,80.56,76.11,76.67,53,51,1077,6857,589.888,80.5575,180,262
2022-09-17 15:12:00,588.89,596.11,581.67,600.56,587.78,617.22,79.44,80.0,84.44,81.67,77.22,77.22,54,52,1068,6857,591.0020000000001,81.3875,186,262
2022-09-17 15:12:06,591.11,598.33,584.44,601.67,581.11,608.89,80.56,80.56,85.56,82.22,78.33,77.78,54,51,981,6857,591.3320000000001,82.225,192,262
2022-09-17 15:12:12,587.78,593.89,578.89,606.67,571.11,577.22,81.11,81.67,86.11,83.33,78.89,78.33,54,51,959,6857,587.668,83.05499999999999,198,262
2022-09-17 15:12:18,582.22,591.11,571.67,605.0,567.78,562.78,81.11,82.22,86.67,83.89,80.0,78.89,54,50,953,6857,583.5559999999999,83.4725,204,262
2022-09-17 15:12:24,578.89,592.22,575.56,607.22,563.89,567.22,81.67,82.78,87.22,84.44,80.56,79.44,54,51,945,6857,583.556,84.0275,210,262
2022-09-17 15:12:30,581.11,591.67,579.44,602.78,561.11,556.67,82.22,83.33,87.78,85.0,81.11,80.0,54,51,944,6857,583.222,84.58250000000001,216,262
2022-09-17 15:12:36,583.33,592.78,572.22,603.89,565.0,566.11,82.78,84.44,88.33,85.56,81.67,80.56,54,50,949,6857,583.4440000000001,85.2775,222,262
2022-09-17 15:12:42,576.67,588.89,577.78,605.0,566.11,550.0,83.33,85.0,88.89,86.11,82.22,80.56,54,50,931,6857,582.8900000000001,85.8325,228,262
2022-09-17 15:12:48,581.67,586.11,576.67,606.11,565.56,547.78,83.89,85.56,89.44,86.67,82.78,81.11,54,51,943,6857,583.2239999999999,86.39,234,262
2022-09-17 15:12:54,584.44,590.56,575.0,611.67,565.56,550.56,84.44,86.11,90.0,87.22,83.33,81.11,54,51,937,6857,585.446,86.9425,240,262
2022-09-17 15:13:00,582.78,594.44,576.67,609.44,571.11,556.67,85.0,86.67,90.56,87.78,83.33,81.67,54,51,944,6857,586.888,87.5025,246,262
2022-09-17 15:13:06,583.33,593.33,576.67,615.0,569.44,561.11,85.0,87.22,91.11,87.78,83.89,82.22,54,51,947,6857,587.554,87.7775,252,262
2022-09-17 15:13:12,584.44,593.89,579.44,611.11,567.78,560.56,85.56,87.78,91.67,88.33,83.89,82.22,54,50,949,6857,587.332,88.335,258,262
2022-09-17 15:13:18,585.56,595.56,577.22,607.78,571.11,561.11,85.56,88.33,92.22,88.89,84.44,82.78,54,51,943,6857,587.446,88.75,264,262
2022-09-17 15:13:24,587.22,593.89,582.22,616.11,572.22,561.67,86.11,88.89,92.78,89.44,84.44,82.78,54,51,947,6857,590.332,89.30499999999999,270,262
2022-09-17 15:13:30,590.0,597.22,583.89,613.89,573.89,555.0,86.67,88.89,92.78,90.0,85.0,83.33,54,51,956,6857,591.778,89.58500000000001,276,262
2022-09-17 15:13:36,588.33,599.44,578.89,612.78,573.33,550.56,86.67,89.44,93.33,90.0,85.0,83.33,54,51,962,6857,590.5539999999999,89.86,282,262
2022-09-17 15:13:42,587.22,598.89,586.67,615.0,571.11,560.56,87.22,90.0,93.89,90.56,85.56,83.33,54,50,950,6857,591.778,90.4175,288,262
2022-09-17 15:13:48,586.67,597.78,580.56,617.78,571.11,558.89,87.22,90.56,94.44,91.11,86.11,83.89,54,50,960,6857,590.78,90.83250000000001,294,262
2022-09-17 15:13:54,590.0,599.44,582.22,617.78,571.67,566.11,87.78,91.11,94.44,91.11,86.11,83.89,54,50,939,6857,592.222,91.11,300,262
2022-09-17 15:14:00,584.44,596.11,583.89,617.78,570.56,550.56,87.78,91.11,95.0,91.67,86.67,83.89,54,51,956,6857,590.556,91.39,306,262
2022-09-17 15:14:06,586.67,596.67,580.0,617.22,573.33,560.56,88.33,91.67,95.56,92.22,86.67,84.44,54,51,985,6857,590.778,91.945,312,262
2022-09-17 15:14:12,588.33,600.56,586.11,613.89,580.0,582.22,88.89,91.67,95.56,92.22,87.22,84.44,54,51,1006,6857,593.778,92.08500000000001,318,262
2022-09-17 15:14:18,589.44,605.0,588.89,615.0,587.78,590.56,88.89,92.22,96.11,92.78,87.22,84.44,54,51,1038,6857,597.222,92.5,324,262
2022-09-17 15:14:24,591.67,599.44,591.67,613.89,586.11,596.67,89.44,92.78,96.67,93.33,87.22,85.0,54,51,1017,6857,596.556,93.05499999999999,330,262
2022-09-17 15:14:30,592.78,599.44,592.78,613.89,590.0,590.0,90.0,93.33,97.22,93.33,87.78,85.0,54,51,1029,6857,597.778,93.46999999999998,336,262
2022-09-17 15:14:36,591.11,602.78,593.89,609.44,591.67,589.44,90.0,93.33,97.78,93.89,88.33,85.0,54,51,1024,6857,597.778,93.75,342,262
2022-09-17 15:14:42,597.22,604.44,592.22,615.56,589.44,601.11,90.56,93.89,97.78,93.89,88.33,85.56,54,51,1040,6857,599.7760000000001,94.03,348,262
2022-09-17 15:14:48,593.89,603.33,591.11,616.11,594.44,601.11,91.11,93.89,98.33,94.44,88.89,85.56,55,51,1041,6857,599.7760000000001,94.4425,354,262
2022-09-17 15:14:54,600.0,599.44,595.0,612.22,591.67,588.33,91.11,94.44,98.89,95.0,88.89,86.11,55,51,1042,6857,599.6659999999999,94.86,360,262
2022-09-17 15:15:00,595.0,600.0,592.78,615.0,592.78,593.33,91.67,94.44,98.89,95.0,89.44,86.11,55,51,1036,6857,599.1119999999999,95.0,366,262
2022-09-17 15:15:06,597.22,602.78,596.11,611.67,596.11,600.0,91.67,95.0,99.44,95.56,90.0,86.11,55,51,1034,6857,600.778,95.4175,372,262
2022-09-17 15:15:12,592.78,603.89,592.22,613.33,595.56,607.22,92.22,95.56,99.44,96.11,90.0,86.67,55,51,1046,6857,599.556,95.83250000000001,378,262
2022-09-17 15:15:18,592.78,603.33,595.0,613.89,597.22,605.0,92.78,95.56,100.0,96.11,90.56,86.67,55,51,1036,6857,600.4440000000001,96.11250000000001,384,262
2022-09-17 15:15:24,596.11,604.44,596.11,611.67,595.0,601.11,92.78,96.11,100.0,96.67,91.11,87.22,55,51,1037,6857,600.666,96.39,390,262
2022-09-17 15:15:30,593.89,604.44,597.22,613.89,594.44,591.11,93.33,96.67,100.56,97.22,91.11,87.22,55,51,1023,6857,600.7760000000001,96.945,396,262
2022-09-17 15:15:36,590.56,605.0,594.44,614.44,594.44,605.0,93.33,96.67,101.11,97.22,91.67,87.78,55,52,1025,6857,599.7760000000001,97.08250000000001,402,262
2022-09-17 15:15:42,591.67,608.33,593.33,612.78,591.67,606.67,93.89,97.22,101.11,97.78,92.22,87.78,55,51,1034,6857,599.5559999999999,97.5,408,262
2022-09-17 15:15:48,593.33,605.56,596.67,613.89,594.44,615.0,93.89,97.22,101.67,97.78,92.22,88.33,55,51,1038,6857,600.778,97.64000000000001,414,262
2022-09-17 15:15:54,594.44,607.78,593.89,611.67,595.56,591.67,94.44,97.78,102.22,98.33,92.78,88.33,55,51,1034,6857,600.668,98.1925,420,262
